COUNTRY,M49,VALUE
Bulgaria,100,7.2208445419160014
Myanmar,104,45.41937438304817
Burundi,108,2.41658898999701
Belarus,112,11.792495894165198
Cambodia,116,44.90769007884787
Algeria,012,4.008650428722851
Cameroon,120,18.904998241610127
Canada,124,22.086337957038868
Cabo Verde,132,9.562113369583429
Cayman Islands,136,18.341375159956566
Central African Republic,140,7.899206772837728
Sri Lanka,144,29.340354125703488
Chad,148,6.869218339238142
Chile,152,12.08519785974275
China,156,39.34272412245486
Taiwan Province of China,158,29.481073592411352
American Samoa,016,5.287777700273833
Colombia,170,6.932777525680741
Comoros,174,14.890920671688164
Mayotte,175,4.307946939207866
Congo,178,28.403504663976573
"Congo, Dem. Rep. of the",180,4.6570683795560095
Cook Islands,184,61.22715336431519
Costa Rica,188,18.21240763443673
Croatia,191,18.785788519829833
Cuba,192,5.666824035847102
Cyprus,196,24.656305809578157
Czechia,203,9.257993840499372
Benin,204,17.062956507120802
Denmark,208,26.51785790223506
Dominica,212,27.874371984767368
Dominican Republic,214,8.349710242116409
Ecuador,218,8.460840077376128
El Salvador,222,6.575758695502793
Equatorial Guinea,226,13.166876465334306
Ethiopia,231,0.5231888404525139
Eritrea,232,1.2141351617841745
Estonia,233,14.630920989004514
Faroe Islands,234,87.08357490262453
Falkland Is.(Malvinas),238,41.76216321128893
Angola,024,16.877601519731076
Fiji,242,29.96822641304995
Finland,246,33.4207963191134
France,250,33.82553751501552
French Guiana,254,10.044421302499659
French Polynesia,258,47.10288872870777
Djibouti,262,4.20530033644513
Gabon,266,30.041633839832375
Georgia,268,8.870931883046525
Gambia,270,26.634218741759714
Palestine,275,2.6245968441574057
Germany,276,12.644398266075449
Antigua and Barbuda,028,55.95260166073553
Ghana,288,25.335710530877765
Kiribati,296,75.258436795022
Greece,300,20.3274539900369
Greenland,304,85.24165494600557
Grenada,308,26.866443695131924
Azerbaijan,031,2.3881246283354574
Guadeloupe,312,11.257978383735683
Guam,316,3.87473398266423
Argentina,032,7.173600163348297
Guatemala,320,3.080169513200502
Guinea,324,10.227455610855374
Guyana,328,25.106339336839255
Haiti,332,5.96611835618987
Honduras,340,2.6596473233602858
"China, Hong Kong SAR",344,39.34272412245486
Hungary,348,6.294646828554583
Iceland,352,91.43204464662854
India,356,7.5034004444229865
Australia,036,25.915295541356922
Indonesia,360,44.27596850408881
Iran (Islamic Rep. of),364,12.4097779223368
Iraq,368,3.0597879076420766
Ireland,372,23.032502841557204
Israel,376,25.42702829132286
Italy,380,29.41151330971734
Côte d'Ivoire,384,23.04694937134013
Jamaica,388,25.283849903238018
Japan,392,45.74016968581543
Kazakhstan,398,2.8146250720319426
Afghanistan,004,0.34590367064994654
Austria,040,13.842557649906361
Jordan,400,5.24076577939761
Kenya,404,3.00011862235911
"Korea, Dem. People's Rep",408,11.051688705213849
"Korea, Republic of",410,56.641776908388685
Kuwait,414,14.383702348803224
Kyrgyzstan,417,1.1135537774397248
Lao People's Dem. Rep.,418,24.787540114109735
Lebanon,422,8.659395470170013
Lesotho,426,1.8218262072482814
Latvia,428,24.354552249737242
Liberia,430,4.6517303523731135
Libya,434,14.617929487686146
Bahamas,044,24.67591758706418
Lithuania,440,31.960189569496453
Luxembourg,442,32.41258591798617
"China, Macao SAR",446,39.34272412245486
Madagascar,450,5.54290551309229
Malawi,454,12.472060257964095
Malaysia,458,56.561575370618975
Maldives,462,87.05396856577666
Mali,466,9.029474295841775
Malta,470,32.46602884377884
Martinique,474,10.727455766131436
Mauritania,478,8.882043320492626
Bahrain,048,17.625668372917257
Mauritius,480,23.974473962253217
Mexico,484,14.960528327160498
Monaco,492,0.02574641837585287
Mongolia,496,0.5837663688461339
"Moldova, Republic of",498,11.560747399704082
Montenegro,499,13.961198720014862
Bangladesh,050,25.631649221223864
Montserrat,500,35.38601666828199
Morocco,504,19.005003181103856
Mozambique,508,13.02511994961416
Armenia,051,5.5620023478533085
Oman,512,27.51699448122
Namibia,516,12.260466596312915
Barbados,052,45.48111045385162
Nauru,520,49.48435339068819
Nepal,524,3.077052841221574
Netherlands,528,16.86704269381526
Curaçao,531,29.915972946169628
Aruba,533,56.384873211566536
Sint Maarten,534,6.010334944404737
Bonaire/S.Eustatius/Saba,535,13.991494859620209
New Caledonia,540,23.770856072857924
Vanuatu,548,30.31357571039042
New Zealand,554,25.92336370395964
Nicaragua,558,6.763446555917278
Belgium,056,22.81878655269111
Niger,562,1.9952128243582912
Nigeria,566,8.991802580881236
Niue,570,23.43242535703258
Norway,578,50.74939016904934
Northern Mariana Is.,580,4.778939384547026
"Micronesia, Fed.States of",583,47.05341263682458
Marshall Islands,584,38.13015588020045
Palau,585,66.11296907504779
Pakistan,586,1.6858288200723337
Panama,591,14.082545751249107
Papua New Guinea,598,16.219609671318533
Bermuda,060,46.64304531320837
Paraguay,600,4.097389275260891
Peru,604,26.21789115510047
Philippines,608,28.036026152511408
Poland,616,12.3784525080081
Portugal,620,58.766075609183794
Guinea-Bissau,624,1.2191282267037729
Timor-Leste,626,7.796372059705374
Puerto Rico,630,0.531788267206748
Qatar,634,21.751955984134565
Réunion,638,2.5490715885211492
Bhutan,064,6.656467175946485
Romania,642,8.169223869747597
Russian Federation,643,21.124308235729917
Rwanda,646,7.635384664528737
Saint Barthélemy,652,10.144582843111982
Saint Helena,654,57.697812736709004
Saint Kitts and Nevis,659,39.23841468811494
Anguilla,660,51.46980859832928
Saint Lucia,662,33.79868671917295
Saint-Martin,663,2.405441975830973
St. Pierre and Miquelon,666,80.11211268989956
Saint Vincent/Grenadines,670,19.46694020755862
Sao Tome and Principe,678,28.607229558356448
